id,public_name,lat,lng,address,postal_code
queenstown-scienceparkdr-dnvgl-lobby,Queenstown/Science Park Dr/DNV GL/Lobby,1.290142536,103.7868958,"16, Science Park Dr",118227
central-claymorerd-21,Central/Claymore Rd/21,1.3077385,103.8301985,Claymore Road 21,229545
jurongeast-jurongeastave1-blk354-deck1a,Jurong East/Jurong East Ave 1/Blk 354/Deck 1A,1.3447,103.7325,354 Jurong East Avenue 1,600354
sembawang-admiraltydr-blk358a-deck1a,Sembawang/Admiralty Dr/Blk 358A/Deck 1A,1.44891,103.81607,358A Admiralty Drive,751358
toapayoh-toapayohlor2-blk120a-deck1b,Toa Payoh/Toa Payoh Lor 2/Blk 120A/Deck 1B,1.33983,103.84585,120A Lorong 2 Toa Payoh,311120
bukitmerah-redhillrd-blk73-deck1a,Bukit Merah/Redhill Rd/Blk 73/Deck 1A,1.288028,103.81733,73 Redhill Road,150073
punggol-punggolfieldwalk-blk128-deck1b,Punggol/Punggol Field Walk/Blk 128/Deck 1B,1.393079,103.913409,128 Punggol Field  Walk,820128
pasirris-pasirrisst72-blk718a-deck1b,Pasir Ris/Pasir Ris St 72/Blk 718A/Deck 1B,1.381854,103.936034,718A Pasir Ris Street 72,511718
jurongwest-yungkuangrd-blk175-decka1,Jurong West/Yung Kuang Rd/Blk 175/Deck A1,1.3321898,103.7218896,"175 Yung Kuang, Yung Kuang Road",611184
choachukang-teckwhyeave-blk146a-deck1a,Choa Chu Kang/Teck Whye Ave/Blk 146A/Deck 1A,1.38111,103.75332,146A Teck Whye Avenue S,681146
queenstown-hollanddr-blk18-deck1a,Queenstown/Holland Dr/Blk 18/Deck 1A,1.3118,103.79207,18 Holland Drive,271018
bukitpanjang-lompangrd-blk170a-deck1a,Bukit Panjang/Lompang Rd/Blk 170A/Deck 1A,1.378999,103.765156,170A Lompang Road,671170
central-racecourselane-4,Central/Race Course Lane/4,1.30954,103.8531,4 Race Course Lane,218732
central-mohamedsultanrd-28,Central/Mohamed Sultan Rd/28,1.29288,103.8413,28 Mohamed Sultan Road,238275
bishan-bishanst22-blk282-deck2,Bishan/Bishan St 22/Blk 282/Deck 2,1.358166,103.844633,282 Bishan Street 22,570282
sengkang-sengkangeastway-blk323-deck1a,Sengkang/Sengkang East Way/Blk 323/Deck 1A,1.39333,103.89251,323 Sengkang East Way,543323
angmokio-angmokioave10-blk410,Ang Mo Kio/Ang Mo Kio Ave 10/Blk 410,1.3632318,103.8546083,410 Ang Mo Kio Avenue 10,560410
yishun-yishunst22-blk265,Yishun/Yishun St 22/Blk265,1.4369706,103.8383619,265 Yishun Street 22,760265
punggol-punggolfield-blk199-deck1a,Punggol/Punggol Field/Blk 199/Deck 1A,1.400142,103.905715,199 Punggol Field,820199
sengkang-fernvalerd-blk453a-deck1a,Sengkang/Fernvale Rd/Blk 453A/Deck 1A,1.393954,103.87528,453 Fernvale Road,790453
hougang-hougangave9-blk933-deck1a,Hougang/Hougang Ave 9/Blk 933/Deck 1A,1.37566,103.88252,933 Hougang Avenue 9,530933
serangoon-lorongliewlian-blk2a-deck2a,Serangoon/Lorong Liew Lian/Blk 2A/Deck 2A,1.34985,103.875774,2A Lorong Liew Lian,532002
central-sultangate-1,Central/Sultan Gate/1,1.30118,103.86091,1 Sultan Gate,198474
tampines-simeist1-blk108-deck373,Tampines/Simei St 1/Blk 108,1.343322,103.951077,108 Simei Street 1,520108
central-stanleyst-3,Central/Stanley St/3,1.279759,103.847743,3 Stanley Street,68722
bishan-bishanst11-blk152a-deck1b,Bishan/Bishan St 11/Blk 152A/Deck 1B,1.34516,103.85474,152A Bishan Street 11,571152
jurongwest-jurongwestst61-blk624a-deck1a,Jurong West/Jurong West St 61/Blk 624A/Deck 1A,1.341173,103.698491,624A Jurong West Street 61,641624
bukitbatok-bukitbatokwestav8-blk154a-deck3a,Bukit Batok/Bukit Batok West Av 8/Blk 154A/Deck 3A,1.347503,103.743757,154A Bukit Batok West Avenue,651154
woodlands-woodlandscrescent-blk780-deck2a,Woodlands/Woodlands Crescent/Blk 780/Deck 2A,1.448457,103.800855,"780 Woodlands Crescent, Woodlands Dew",730780
angmokio-angmokioav4-blk157,Ang Mo Kio/Ang Mo Kio Av 4/Blk 157,1.3751449,103.839079,157 Ang Mo Kio Avenue 4,560157
bedok-bedoknorthrd-blk184-deck1a,Bedok/Bedok North Rd/Blk 184/Deck 1A,1.326199,103.94176,"184 Bedok North Road, Vista 8",460184
central-mosquest-28,Central/Mosque St/28,1.28345,103.84541,28 Mosque Street,59506
central-jalanmerahsaga-44,Queenstown/Jalan Merah Saga/44,1.31187,103.79699,44 Jalan Merah Saga,278116
tampines-tampinesst41-blk420,Tampines/Tampines St 41/Blk 420,1.357537,103.947125,420 Tampines Street 41,520418
central-queenst-269b,Central/Queen St/269B,1.3001556,103.8539147,269B Queen Street,182269
central-peckseahst-23,Central/Peck Seah St/23,1.27767,103.84494,23 Peck Seah Street,79313
queenstown-fusionopolispl-1-deckb4,Queenstown/Fusionopolis Pl/1/Deck B4,1.29866,103.78748,1 Fusionopolis Place,138632
bukitpanjang-fajarrd-blk443-deck1b,Bukit Panjang/Fajar Rd/Blk 443/Deck 1B,1.3810266,103.7706337,443 Fajar Road,670443
sengkang-rivervalecrescent-blk146a-deck1b,Sengkang/Rivervale Crescent/Blk 146A/Deck 1B,1.3903867,103.9061507,146A Rivervale Crescent,541146
tampines-tampinesst32-blk307a-deck1a,Tampines/Tampines St 32/Blk 307A/Deck 1A,1.353513,103.956151,307A Tampines Street 32,521307
angmokio-angmokiost22-blk226eh,Ang Mo Kio/Ang Mo Kio St 22/Blk 226E-H,1.366843,103.840661,226 Ang Mo Kio Street 22,565226
central-kitchenerrd-93,Central/Kitchener Rd/93,1.3085176,103.8588033,93 Kitchener Road,208510
geylang-aljuniedave2-blk118-deck2b,Geylang/Aljunied Ave 2/Blk 118/Deck 2B,1.320235,103.88772,118 Aljunied Avenue 2,380118
queenstown-commonwealthdrive-blk54-deck1b,Queenstown/Commonwealth Drive/Blk 54/Deck 1B,1.301726,103.796861,54 Commonwealth drive,142054
jurongeast-tohguanroad-blk267a-deck1a,Jurong East/Toh Guan Road/Blk 267A/Deck 1A,1.341566,103.745218,267A Toh Guan road,601267
sembawang-wellingtoncircle-blk508-deck1b,Sembawang/Wellington Circle/Blk 508/Deck 1B,1.452938,103.81986,508 Wellington circle,750508
sengkang-rivervaledrive-blk190c-deck1b,Sengkang/Rivervale Drive/Blk 190C/Deck 1B,1.39479,103.902436,190C Rivervale drive,543190
sengkang-rivervaledrive-blk124d-deck1a,Sengkang/Rivervale Drive/Blk 124D/Deck 1A,1.387552,103.902722,124D Rivervale drive,544124
toapayoh-joosengroad-blk2a-deck1a,Toa Payoh/Joo Seng Road/Blk 2A/Deck 1A,1.334573,103.879269,2A Joo seng Road,361002
tampines-tampinesstreet71-blk701a-deck1a,Tampines/Tampines Street 71/Blk 701A/Deck 1A,1.356541,103.936594,701A Tampines street 71,521701
